sentence,gold_mwe,pred_mwe
sekizde üç bir bayağı kesirdir .,üç bir,üç_bir
"dükkânlar karmakarışık , mallar bayat , kibar müşteriler birer birer çekiliyor , ayaktakımı her gün artıyor .",her gün,her_gün
"dükkânlar karmakarışık , mallar bayat , kibar müşteriler birer birer çekiliyor , ayaktakımı her gün artıyor .",birer birer,birer_birer
baygınlığım ne kadar sürdü bilmiyorum .,ne kadar,ne_kadar
biz de uğultularla denizin ardı sıra / başka bir deniz gibi dağdan aktık bayıra,ardı sıra,ardı_sıra
"kimseye belli etmeden uzaklaşmış , bayır yukarı , sivrikaya'ya çıkmıştı .",bayır yukarı,bayır_yukarı
hacı arif efendi bir bayram çocuğu gibi yerinde duramıyordu .,bayram çocuğu,bayram_çocuğu
gelince beklememi sıkı sıkı tembih etmişler .,sıkı sıkı,sıkı_sıkı
noktalama işaretleri .,noktalama işaretleri,noktalama_işaretleri
bel ağrısı .,bel ağrısı,bel_ağrısı
"belediye çavuşu yanında jandarma onbaşısı , çarşıyı dolaşmış , esnafa kepenk kapattırmıştır .",belediye çavuşu,belediye_çavuşu
"onların canı ciğeri taze fidanları kana bulatmak , yaşlı başlı insanlara yakışmaz .",yaşlı başlı,yaşlı_başlı
belirli belirsiz incecik bir çizgi arasından gördüğü garip bir surat .,belirli belirsiz,belirli_belirsiz
pek pek on bin lira eder .,pek pek,pek_pek
masa ara sıra belli belirsiz titriyordu .,belli belirsiz,belli_belirsiz
masa ara sıra belli belirsiz titriyordu .,ara sıra,ara_sıra
"yol berbat , toz toprak üstümüze savruluyor .",toz toprak,toz_toprak
şimdi yavaş yavaş kendimize geliyoruz ama bir damak kaldırma ameliyesine muhtacız hâlâ .,yavaş yavaş,yavaş_yavaş
"hemen her gece sille tokat adamakıllı dayak yiyor , her yanı çürük içinde .",sille tokat,sille_tokat
hasan ağa dal gibi kızı şişmanlatmak için elinden geleni yapmıştı .,dal gibi,dal_gibi
sarı sımayıl yusuf ağa'nın beslengisine öteden beri göz koymuş .,öteden beri,öteden_beri
beş on dakika geçmemişti ki balta sesleri yankılandı dağlarda .,beş on,beş_on
beş vakit sizi ve yardımlarınızı anıyorum .,beş vakit,beş_vakit
beyaz perde yıldızı .,beyaz perde,beyaz_perde
"bunlar arasında beygirsiz bir araba titreyerek sarsılarak geziyor , borusunu öttürüyordu .",bir araba,bir_araba
usa ve gerçeğe uygun anlatışlara kulak verenin olmadığı görüldü .,gerçeğe uygun,gerçeğe_uygun
çadır bezi .,çadır bezi,çadır_bezi
tükürük bezleri .,tükürük bezleri,tükürük_bezleri
"bir ara bezgin bakışlarımla karşılaşan şeref , toparlanmak gereği duyuyor .",bir ara,bir_ara
"onlar bıcır bıcır konuşup gülecekler , koşup oynayacaklar .",bıcır bıcır,bıcır_bıcır
bıraksam acaba beyaz bir çift güvercin gibi uçarlar mı ?,bir çift,bir_çift
"kasımpatı , papatya , enginar , deve dikeni gibi bitkiler bileşikgiller familyasındandır .",deve dikeni,deve_dikeni
bilinç dışı özgürlüğünün itkisiyle en sonunda âşık olmuştur .,bilinç dışı,bilinç_dışı
"bu taze kadın sesleri öyle güzel , billuri , ilahî duyulurmuş ki bunları hep birden dinlemek , deniz kızlarını işitmek kadar tesirli olurmuş .",hep birden,hep_birden
ondan ne bir yüzük taşı ne de bir binek taşı yapılabilir .,binek taşı,binek_taşı
belki de atlara binerek dolaşırız .,belki de,belki_de
bir kalem .,bir kalem,bir_kalem
bir aralık bir odada yalnız kalmış oluyoruz .,bir aralık,bir_aralık
mızıkaların çaldığı kantolar arasında uzaktan uzağa tanıdığı havalar da vardı .,uzaktan uzağa,uzaktan_uzağa
yazarın cinsiyetinin yapıtlarında hep görünür olması bana bir bakıma doğal geliyor .,bir bakıma,bir_bakıma
dünya nimetlerinin bir bir farkına varmaya başlarız .,bir bir,bir_bir
bakın çantasında acep nesi var / bir çift kundurayla bir de fesi var,bir çift,bir_çift
"ağzı yayılıyor , dişsiz yerlerin kara çukurları bir düziye meydana çıkıyor .",bir düziye,bir_düziye
uzunluk ölçüsü birimi metredir .,uzunluk ölçüsü,uzunluk_ölçüsü
birisi sezecek olsa kim bilir ne dedikodular çıkarılırdı .,kim bilir,kim_bilir
dil birliği .,dil birliği,dil_birliği
"kızın gebe olmadığı , bakire olduğu anlaşıldığı için bir ölçüde rahatlamışlardı sanırım .",bir ölçüde,bir_ölçüde
"bir yanda ev kadını ve evli kadın olma özlemi , bir yanda gününü gün etme özgürlüğünün tutkusu .",ev kadını,ev_kadını
"bir yanda ev kadını ve evli kadın olma özlemi , bir yanda gününü gün etme özgürlüğünün tutkusu .",bir yanda,bir_yanda
görsem erenköyü'ndeki leylaklı bahçede / cananla bir zaman konuşup içtiğim yeri,bir zaman,bir_zaman
"kadın , erkek , çoluk çocuk , atlı , arabalı hatta bisikletli bir sürü !",bir sürü,bir_sürü
"kadın , erkek , çoluk çocuk , atlı , arabalı hatta bisikletli bir sürü !",çoluk çocuk,çoluk_çocuk
"kumpanya gitmiş , kasaba halkı biz bize kalmıştık .",biz bize,biz_bize
"ev , bodrumu , tavan arası ve iki katıyla tam bir konak yavrusudur .",tavan arası,tavan_arası
gönül meselesi ile boğaz meselesi mühim şeylerdir .,boğaz meselesi,boğaz_meselesi
gönül meselesi ile boğaz meselesi mühim şeylerdir .,gönül meselesi,gönül_meselesi
"koridorun karanlığında boğula boğula ağlıyor , yerlere kapanarak nadide hanım'ın dizlerini öpüyordu .",boğula boğula,boğula_boğula
sanki çakır'ın boğum boğum bileğini muayeneye alan genç adam bu değildi .,boğum boğum,boğum_boğum
hemen hemen her giyim eşyası bohçada ve sandıkta saklanırdı .,hemen hemen,hemen_hemen
bol bulamaç kazanıyor sandıklarımızın çoğu sıkıntı içindedirler .,bol bulamaç,bol_bulamaç
balat kapısından girdim içeri / boliçeler oturmuş iki geçeli,iki geçeli,iki_geçeli
"adam , odadan içeri bir fırtına gibi girdi , bonjur , dedi .",fırtına gibi,fırtına_gibi
yazın sık sık boran olur .,sık sık,sık_sık
borçsuz harçsız bu evi satın aldılar .,borçsuz harçsız,borçsuz_harçsız
daha sonra karbonat yerine asit borik yutmak suretiyle bir sersemlik ettim .,asit borik,asit_borik
sınıf tamamen boşaldığında çıtı pıtı kadınla öğretmenin de onlarla birlikte gitmiş olduklarını fark etti .,çıtı pıtı,çıtı_pıtı
"bağlama telleri , tef zilleri ses verdikçe duvarlarda moda dergilerinin boşlukta kalan orta sayfaları süs fenerleri gibi bir o yana , bir bu yana döndü .",bu yana,bu_yana
"dağlar önünde boy boy , güneş gözümde tel tel .",boy boy,boy_boy
"dağlar önünde boy boy , güneş gözümde tel tel .",tel tel,tel_tel
ben bu sarı kâğıtlardan o kadar bezmişimdir ki güzelim sarı rengi de ondan dolayı boykot ettim .,o kadar,o_kadar
fakat o doludizgin kırkı boylamış bir ateşle par par yanıyordu .,par par,par_par
"şimdi kızarıyor , şimdi bozarıyor , renk renk hareleniyordu .",renk renk,renk_renk
büyükçe bir ahırdan bozma sinema salonu hâlâ gübre kokuyordu .,sinema salonu,sinema_salonu
"böyle küme küme , böyle oğul oğul nerelerde toplanırdı bunlar ?",küme küme,küme_küme
"böyle küme küme , böyle oğul oğul nerelerde toplanırdı bunlar ?",oğul oğul,oğul_oğul
öğle yemeğini ana cadde üstündeki börekçide yediler .,ana cadde,ana_cadde
akşama kadar düşünüp sonunda bir çare buldu .,akşama kadar,akşama_kadar
"bu arada benim kim olduğumu , ne iş yaptığımı öğrendi .",bu arada,bu_arada
üç buçuk senedir ben bu sallantıya şahit oldum .,üç buçuk,üç_buçuk
kibarlık budalası .,kibarlık budalası,kibarlık_budalası
"başkalarının başarısına , şansına benim kadar canıgönülden , benim kadar budalacasına sevinen başka birini kolay kolay gösteremeyeceklerdir .",kolay kolay,kolay_kolay
bugün yarın kayseri'den haber gelir zaten .,bugün yarın,bugün_yarın
"güneş sanki buğulu bir tülbendin arkasına saklanmış , alev alev .",alev alev,alev_alev
"atlar , arabalar , dalkavuklar arasında geçen debdebelerle şimdiki kırk paralık bulama , altmış paralık peynir müşterilerine meram anlatmak arasında ne büyük tezat vardı .",meram anlatmak,meram_anlatmak
az çok bulamaç olan romantizm şiirinin daha imbikten geçmiş taraflarına geldim .,az çok,az_çok
"burası ufukları geniş , seması bulutsuz , güneşi berrak bir yeşil saha idi .",yeşil saha,yeşil_saha
"bu türlü konuşanlar , bazı güçlü kişilere yaranmak çabası içindedirler .",bu türlü,bu_türlü
"karısının buyurgan bilgiçliğine , yukardan ilgisine katlanabilmesi , artık son derece güç .",son derece,son_derece
"bütün bu dostlukların , bu teklifsizliklerin içinde bir buz duvarı vardı ki aşılmıyordu .",buz duvarı,buz_duvarı
sonra oturtuldu ve terzinin kocaman makasıyla büklüm büklüm saçları ta dibinden kırkıldı .,büklüm büklüm,büklüm_büklüm
"yatağımın içinde bu takır takır tahtaların soğukluğunu , sertliğini duyar gibi olurdum .",takır takır,takır_takır
"o ne yaman büyücüdür , şeytan tüyü var herifte .",şeytan tüyü,şeytan_tüyü
"bir ana dans sırasında , büyük boy duvar aynalarından birini gösterdi .",büyük boy,büyük_boy
bir kandil günü öteki bölükteki büyük hanımın elini öpmeye gitmiştim .,kandil günü,kandil_günü
"bir ara yine işi büyüttüğüne , hayale kapıldığına hükmetti .",bir ara,bir_ara
ada vapuru yandan çarklı / bayraklar donanmış cafcaflı,yandan çarklı,yandan_çarklı
elli senedir cambazlık ettiği hâlde ancak ömründe bir defa beyaz eşek görmüştü .,bir defa,bir_defa
şimdi bu incelemeyi özetleyişimizin en can alıcı sebebine geliyoruz .,can alıcı,can_alıcı
"günlerce , haftalarca , üstümüze memleket yıkılmış gibi bir can bunaltısı içinde kıvrandık .",can bunaltısı,can_bunaltısı
bütün şikâyetlerinin can noktası bu cins maskaralıklar değil mi ?,can noktası,can_noktası
can pazarı bu .,can pazarı,can_pazarı
bu ikisinin arasında senelerce süren bir cehennem hayatı oldu .,cehennem hayatı,cehennem_hayatı
ev sahibi celallice bir adamdı .,ev sahibi,ev_sahibi
bir cenaze töreni için şehitlik'e ilk defa gidiyordum .,cenaze töreni,cenaze_töreni
"meydan muharebesi , yüz kilometrelik cephe üzerinde cereyan ediyordu .",meydan muharebesi,meydan_muharebesi
"en iyisi zorlamamak , işi tabii cereyanına bırakmak .",en iyisi,en_iyisi
"devşirme değil , cetbecet türk , özüm gibi halis sivaslı , aslan gibi kumandan .",aslan gibi,aslan_gibi
salon penceresinin önündeki kafesinde cıvıl cıvıl şakıyordu kanarya .,cıvıl cıvıl,cıvıl_cıvıl
"ev sahibi , cilalı basma resmi , tablo yerine astı .",ev sahibi,ev_sahibi
"değil mi ki cilveler yapıyorsun , kalkıp da bize erdemlilikten söz etme !",değil mi ki,değil_mi_ki
benim gibi bir cin çalığı doğurmak rezaleti ağırına gitmiş .,cin çalığı,cin_çalığı
"paralar cins cins ayrılıp tasnif ediliyor , yekûnler kontrol ediliyor .",cins cins,cins_cins
"yavaş yavaş fırçalardan , boyalardan , renklerin cümbüşlerinden başka her şey çevresinden siliniyordu .",yavaş yavaş,yavaş_yavaş
sorumlulardan dişe dokunur üç beş cümlecik bile almış değiliz .,üç beş,üç_beş
sorumlulardan dişe dokunur üç beş cümlecik bile almış değiliz .,dişe dokunur,dişe_dokunur
suçlu cürmünü inkâr etmekte ve saçma sapan ifadeleriyle tahkikatı karıştırmak istemektedir .,saçma sapan,saçma_sapan
"fırat , malatya'ya doğru bir dirsek gibi kıvrıldığı vadide artık dağlardan kopup çağıl çağıl köpürmüyor .",çağıl çağıl,çağıl_çağıl
"bu hain , sert kadın , kızının beni istemediğini , boşamazsam yarın saraya gidip huzura çıkacağını , beni fizan'a sürdüreceğini çakıl çukul söyledi .",çakıl çukul,çakıl_çukul
güzel meze ile arada bir de çakıştırıyorlar .,arada bir,arada_bir
hep çakmak çakmak yanan açık ela gözlerinde öfke aşikârdı .,çakmak çakmak,çakmak_çakmak
"i̇şte o sırada çalgıhaneler , meyhaneler , kahvehaneler açıldı .",o sırada,o_sırada
elinde bir çalı süpürgesi ile ortaya fırladı .,çalı süpürgesi,çalı_süpürgesi
"şimdi kızarıyor , şimdi bozarıyor , renk renk hareleniyordu .",renk renk,renk_renk
"i̇leride iki büklüm eğilmiş , elindeki çapayla tarhlarda çalışan bahçıvan , otomobilin gelişini görünce ağır ağır doğruldu .",ağır ağır,ağır_ağır
"i̇leride iki büklüm eğilmiş , elindeki çapayla tarhlarda çalışan bahçıvan , otomobilin gelişini görünce ağır ağır doğruldu .",iki büklüm,iki_büklüm
i̇htiyar kadın hep çapaklanan gözlerini mendiliyle kurulayarak bir iki söz daha kekeledi .,bir iki,bir_iki
"bunlar , herhangi bir caz havasına uyar gibi omuz , gerdan kırar , kalça sallar ve mantolarını çapkın bir eda ile şöylece omuzlarının üstüne atıverirler .",herhangi bir,herhangi_bir
"döne döne çapraşan , su yolları gibi ucu .",döne döne,döne_döne
"davlumbazlar yeğde yeğde vuranda / çarkacılar sağlı sollu dönende / eğri kılıç ak gövdeyi bölende / yiğidi doğuran ana , bin yaşa !",sağlı sollu,sağlı_sollu
"davlumbazlar yeğde yeğde vuranda / çarkacılar sağlı sollu dönende / eğri kılıç ak gövdeyi bölende / yiğidi doğuran ana , bin yaşa !",bin yaşa,bin_yaşa
bir aralık geminin çarkçıbaşını yakalayacak gibi oldu .,bir aralık,bir_aralık
kim bu ruhsatsız lafa karışan çarliston marka kereste ?,çarliston marka kereste,çarliston_marka_kereste
"ne kadar küçük olursa olsun , bu ona pek çarpıcı ve aydınlatıcı geliyordu .",ne kadar,ne_kadar
"i̇çinden bir yuvarlak francala , çocuk oyuncaklarını andıran bir çatal bıçak takımı çıkardı .",çatal bıçak takımı,çatal_bıçak_takımı
meğer ne kadar yanılmıştım .,ne kadar,ne_kadar
"o çatık , kara kaşlı , al yanaklı hanımın kucağına oturmak lazım gelmişti .",kucağına oturmak,kucağına_oturmak
alacağımı çatır çatır alırım .,çatır çatır,çatır_çatır
"eğer çay doldururken bardak çatlarsa , üzerlerinde nazar olduğuna hükmeder , gidip bir koşu ateşte tuz çevirirdi .",bir koşu,bir_koşu
"bülbül gibi i̇talyanca , fransızca , çatra patra türkçe konuşuyor .",çatra patra,çatra_patra
gittiği zengin arkadaşlarının çayından allak bullak gelir .,allak bullak,allak_bullak
"elimde ince belli çay bardağı , yudum yudum içerek müşterileri seyrediyorum .",yudum yudum,yudum_yudum
"elimde ince belli çay bardağı , yudum yudum içerek müşterileri seyrediyorum .",çay bardağı,çay_bardağı
şehrin etnik çehresi de bizim için az çok meçhuldür .,az çok,az_çok
"dükkân karmakarışık , mallar bayat , kibar müşteriler birer birer çekiliyor , ayaktakımı her gün artıyor .",her gün,her_gün
"dükkân karmakarışık , mallar bayat , kibar müşteriler birer birer çekiliyor , ayaktakımı her gün artıyor .",birer birer,birer_birer
akşama doğru kendisinin bile yadırgayacağı kadar çekingenleşmişti .,akşama doğru,akşama_doğru
"bizi , çekirge şalvar biçiminde bol aba pantolonlu , bıyıklı bir adam karşıladı .",çekirge şalvar,çekirge_şalvar
sıra sıra çeperler / çepere su serperler / irak yoldan geleni / terli terli öperler,sıra sıra,sıra_sıra
"çerçeveli , çerçevesiz bir sürü fotoğraf çıkarıp masasının üstüne serdi .",bir sürü,bir_sürü
durum çetrefilleşiyor belki her şeyi yeni baştan düşünmem icap edecek .,yeni baştan,yeni_baştan
düşüncelerimi sormak üzere bu çevirileri parça parça i̇stanbul'a yollamıştı .,parça parça,parça_parça
"bendenize şikâyetlerin yapılmaması , iş çevirmek isteyenlerin muvaffak olamayacaklarını bilmeleri neticesidir .",iş çevirmek,iş_çevirmek
çığlık çığlığa kendini yere attı .,çığlık çığlığa,çığlık_çığlığa
çıkır çıkır bilezikli kolları / söyledikçe şirin olur dilleri,çıkır çıkır,çıkır_çıkır
bahçede bir de çıkrıklı kuyu olacak .,bir de,bir_de
elmas yüzük çıldır çıldır yanıyor .,çıldır çıldır,çıldır_çıldır
"caz alabildiğine çıngırdıyor , gümbürdüyor , garsonlar sağa sola seğiriyor .",sağa sola,sağa_sola
çırpı vurmak .,çırpı vurmak,çırpı_vurmak
"o onurlu ve soğukkanlı adam , gözlerini açarak daha çok şey öğrenmek için çırpınıyordu .",çok şey,çok_şey
"kim bana bu sevdanın sonu çıkmaz olduğunu hafif yollu çıtlatacak olsa kırılarak karşı çıkıyor , çıtlatana düşman kesiliyordum .",hafif yollu,hafif_yollu
"sonra kazmayla toprağı çiziktirip tek gözlü , eğri büğrü planlar yaptılar .",eğri büğrü,eğri_büğrü
"elmas , kadınlar koğuşunda , yataklarda çifter çifter yatan hastaların arasında , kraliçeler gibi tek başına uzanıyordu karyolasında .",çifter çifter,çifter_çifter
"elmas , kadınlar koğuşunda , yataklarda çifter çifter yatan hastaların arasında , kraliçeler gibi tek başına uzanıyordu karyolasında .",tek başına,tek_başına
çiftlik kâhyası her sene uzun bir masraf defteri gönderir .,çiftlik kâhyası,çiftlik_kâhyası
kaptan da çil çil altınları görünce yumuşadı .,çil çil,çil_çil
"haydi abbas vakit tamam / akşam diyordun , işte oldu akşam / kur bakalım çilingir soframızı / dinsin artık bu kalp ağrısı",kalp ağrısı,kalp_ağrısı
çim çim yemek .,çim çim,çim_çim
"dün akşam fazla kaçırdım , ağzım çirişçi çanağı .",çirişçi çanağı,çirişçi_çanağı
"ne denli yalapşap yapıldığı sonradan anlaşılan bir ameliyatla , zaten çirkince olan burun iflah olmaz bir eğriliğe kavuşmuş , öyle de kalmıştı .",ne denli,ne_denli
"mevsim kış , hava kapalı , yağmur ince ince çiseliyor .",ince ince,ince_ince
"bir yandan ay çekirdeği çitler , bir yandan gözlük değiştire değiştire okurdu .",bir yandan,bir_yandan
"bir yandan ay çekirdeği çitler , bir yandan gözlük değiştire değiştire okurdu .",ay çekirdeği,ay_çekirdeği
turnam gelir çizin çizin / kanadı boynundan uzun,çizin çizin,çizin_çizin
çocuk gibi adam .,çocuk gibi,çocuk_gibi
komşularımızdan çoluklu çocuklu bir aile muhteşem bir sofra hazırlamaya başladılar .,çoluklu çocuklu,çoluklu_çocuklu
kumral saçlarının çevrelediği çökkün yüzünü eğerek elindeki iğne oyalı kar beyaz mendile uzun uzun sümkürdü .,uzun uzun,uzun_uzun
"bugüne kadar karayamuklar ailesi tekelinde kalmış bir çöpsüz üzüm bütün nakit parası , malı ve şerefiyle rastgele birine kaptırılamazdı .",çöpsüz üzüm,çöpsüz_üzüm
altın suyu altının çözücüsüdür .,altın suyu,altın_suyu
"sandukanın yeşil çuhasına başını dayadığında , sanki bir el saçlarını okşayıp teskin edecekti onu .",bir el,bir_el
"yanımızda , ne olur ne olmaz diye alınmış yarım çuval peksimet vardı .",ne olur ne olmaz,ne_olur_ne_olmaz
"ev bize dar geliyor , çürük çarık , akarı kokarı eksik değil .",çürük çarık,çürük_çarık
su katılmamış bir dadaştı ve politika ile uğraşmamıştı .,su katılmamış,su_katılmamış
dağbaşında gece yarısı beni kim görmek isteyebilir ?,gece yarısı,gece_yarısı
"gece boyunca kırlarda yürüdü , dere tepe düz gitti ve bir dağın eteğine geldi .",dere tepe,dere_tepe
"cılız dallar , yeşili fersiz , tırnak kadar yapraklar !",tırnak kadar,tırnak_kadar
kırmızı ışığın dalga boyu ( boşlukta veya havada ) 0.7 mikrondur .,dalga boyu,dalga_boyu
"birdenbire , ovaların sessizliği içinde dalga dalga yükselen bir türkü başladı .",dalga dalga,dalga_dalga
onun derdi de dallı budaklı olur .,dallı budaklı,dallı_budaklı
yemekten sonra yine tatlı tatlı memleket yârenliğine daldık kahvede .,tatlı tatlı,tatlı_tatlı
elime bir damla yağmur düştü .,bir damla,bir_damla
su damlacıklarının pırıl pırıl ışıldayışı büyüleyici ama kitaplar da ıslanmakta .,pırıl pırıl,pırıl_pırıl
"polisler bu arada , kurtulmak için çırpınan ve debelenen sadi'nin ceplerini arıyorlardı .",bu arada,bu_arada
"çoğunun , kompleksli , iddiacı ve dediğim dedikçi olduğunu müşahede edeceksiniz .",dediğim dedikçi,dediğim_dedikçi
su değirmeni .,su değirmeni,su_değirmeni
taşın göze dokunmadığını ve bir parmak aşağıda yanağı deldiğini gördü .,bir parmak,bir_parmak
öyle fukara çocuklara rastlıyorduk ki bize demet demet kır çiçekleri hediye ediyorlardı .,demet demet,demet_demet
o kadar çabuk uyanmıştı ki kalbinin demir bir elle sıkıldığını duydu .,o kadar,o_kadar
sonraki gün harçlıklarını birleştirip demirciden büyük boy kırk beş ve küçük boy iki yüz çivi aldılar .,büyük boy,büyük_boy
kendi eliyle semaverde demlendirdiği çayı karşılıklı içtiğimiz günleri bir daha bulamam .,bir daha,bir_daha
"türkiye cumhuriyeti demokratik , laik ve sosyal bir hukuk devletidir .",türkiye cumhuriyeti,türkiye_cumhuriyeti
"bugünün türkiyesi'nde biricik ölçüt , denek taşı herkesin birbirini aşağılaması .",denek taşı,denek_taşı
"her tarih eseri , doğrudan doğruya veya dolaylı olarak yazarın hayat tecrübesine bağlıdır .",doğrudan doğruya,doğrudan_doğruya
"hiç kimse normal , sürekli ve dengeli bir basın rejimi yaşamış olduğunu iddia edemez .",hiç kimse,hiç_kimse
deniz altı volkanları .,deniz altı,deniz_altı
bu deniz altı yerde gemi barınamaz .,deniz altı,deniz_altı
her denizci gibi onun da yol yol kırışmış yüzüne bir yaş biçmek zordu .,yol yol,yol_yol
deniz kaplumbağası görselerdi onu netameli saydıkları için canları sıkılırdı .,deniz kaplumbağası,deniz_kaplumbağası
"emri alır almaz yatağı yorganı , bakırı , çamaşırı denkledi .",alır almaz,alır_almaz
"her yerde bize derece derece verilen kanaat , burada biraz daha tahkim edilmiş oldu .",derece derece,derece_derece
dere tepe dolaşmak .,dere tepe,dere_tepe
bir yandan da bundan derin bir utanç duyuyorum .,bir yandan,bir_yandan
"elverir ki bir gün bana , derinden / ta derinden bir gün bana gel desin",elverir ki,elverir_ki
"sanat eri çalışır , bir eser kor ortaya , onun güzel olduğuna inanır , o güzelliği herkesin anlamasını , kavramasını ister .",sanat eri,sanat_eri
"onun koleksiyonculuğu , kemiyetteki kahramanlığıysa , boyuna keyfiyette arayıp asla bulamadığı kadını ne yapıp yapıp yakalayabilmek gayretindendir .",ne yapıp yapıp,ne_yapıp_yapıp
hem ev idaresi bakımından daha derli toplu yaşarız .,derli toplu,derli_toplu
bir yakınlık kurmak için derslerini soracak oluyordu .,yakınlık kurmak,yakınlık_kurmak
rabia elinden gittikten dört beş ay sonra imama verdiği söze rağmen yavaş yavaş komşulara içini açmak istedi .,yavaş yavaş,yavaş_yavaş
rabia elinden gittikten dört beş ay sonra imama verdiği söze rağmen yavaş yavaş komşulara içini açmak istedi .,içini açmak,içini_açmak
"bu vaziyeti de görünce büsbütün kızdı , gülsüm'e unutmaz , affetmez bir deve kini bağladı .",deve kini,deve_kini
deve tımarı iş .,deve tımarı,deve_tımarı
"şair , romantizmi bir bakıma ihtilalcilik olarak ele almak istemiştir .",bir bakıma,bir_bakıma
"şair , romantizmi bir bakıma ihtilalcilik olarak ele almak istemiştir .",ele almak,ele_almak
"bayram vali konağının dış kapısında , ellerini yine önünde kavuşturmuş taş gibi dimdik duruyordu .",taş gibi,taş_gibi
"bu kitapların haricinde herhangi bir menfaat ummak , seraptan su ummak gibi olur .",herhangi bir,herhangi_bir
artık komutanlardan başka hiç kimse dışarı çıkmazdı .,hiç kimse,hiç_kimse
"durumu düzelmişti , yavaş yavaş kendisini dışlayan topluluğun bireyleri kapılarını açıyordu .",yavaş yavaş,yavaş_yavaş
kahve dibeği .,kahve dibeği,kahve_dibeği
"bu üşenmez , bu didingen , bu uyanık ve çevik adam , mecmuasında yazılmış binlerce imzanın heyecan ve bilgi ağırlığına muadil bir iradeyi tek başına temsil etti .",tek başına,tek_başına
bir lokma kuru ekmek için sabahtan akşama kadar didişen zavallıların hâlini meraklı bir roman gibi dinliyor .,sabahtan akşama,sabahtan_akşama
bir lokma kuru ekmek için sabahtan akşama kadar didişen zavallıların hâlini meraklı bir roman gibi dinliyor .,kuru ekmek,kuru_ekmek
"bir başkasını gönderir , soruşturmayı daha da derinleştirirlerdi .",daha da,daha_da
dik açı .,dik açı,dik_açı
"savcı , bıyıkları , saçları diken diken , dinliyordu .",diken diken,diken_diken
sıra sıra demir beton direkler arasında dikenli teller gerilmişti .,sıra sıra,sıra_sıra
"dikişe , oyaya başladı , hanım hanımcık yaşıyordu , memnundu .",hanım hanımcık,hanım_hanımcık
"doldurmasıyla kadehini dikmesi , gözünü kırpmadan tek yudumda devirmesi bir oluyor .",gözünü kırpmadan,gözünü_kırpmadan
şimdi bu elemanları ince ince dileceğim .,ince ince,ince_ince
"bayram vali konağının dış kapısında , ellerini yine önünde kavuşturmuş taş gibi dimdik duruyordu .",taş gibi,taş_gibi
"dinçlenmiş gövdeleri , dinlenmiş yüzleri ile pırıl pırıl gelmişlerdi gazinoya .",pırıl pırıl,pırıl_pırıl
belki hürmetlerini göstermek isteyen dinleyiciler ayağa kalkmak isteyeceklerdi .,ayağa kalkmak,ayağa_kalkmak
"tam bu sırada iri iri , diri diri kolyozlar geldi .",iri iri,iri_iri
"tam bu sırada iri iri , diri diri kolyozlar geldi .",diri diri,diri_diri
"ağzı yayılıyor , dişsiz yerlerin kara çukurları bir düziye meydana çıkıyor .",bir düziye,bir_düziye
"zaten ufacık mahalle , dedikodu desen diz boyu .",diz boyu,diz_boyu
"başı boş , gözü kör , dizgesiz isteklerimizin bizi ne kadar çirkinleştirdiğini gör artık !",ne kadar,ne_kadar
i̇şte bütün eserlerini bir araya toplayacak olan bu dizinin başına yazılacak ön söz .,ön söz,ön_söz
doğma büyüme kanlıcalılardan ve eski ahbaplardan bir sıdıka hanım vardı .,doğma büyüme,doğma_büyüme
"i̇nancı kötüye kullanma , dolanlı iflas gibi yüz kızartıcı suçlarla hüküm giymiş olanlar .",yüz kızartıcı,yüz_kızartıcı
"i̇nancı kötüye kullanma , dolanlı iflas gibi yüz kızartıcı suçlarla hüküm giymiş olanlar .",dolanlı iflas,dolanlı_iflas
"ulan andavallı , dolap beygiri misin ?",dolap beygiri,dolap_beygiri
bizim alayımız leylek alayı / havada uçarız dolayı dolayı,dolayı dolayı,dolayı_dolayı
"dolmuşçuların çoğu da babasının , anasının evini satarak bir araba edinmiştir .",bir araba,bir_araba
domur domur terlemiş .,domur domur,domur_domur
bu gördüğünüz yol şenlik gecesi gibi ardı arası kesilmez sıra sıra otomobillerin fenerleriyle donanırdı .,sıra sıra,sıra_sıra
"beş numaranın önünde don gömlek , beş altı kişilik bir toplantı vardı .",don gömlek,don_gömlek
pirinç kakmaları donuk donuk ışıldayan hamam kapısını iterek içeri girdi .,donuk donuk,donuk_donuk
dorukta yalnız kalmak ve doruktan başlamak ne kadar da zormuş meğer .,ne kadar,ne_kadar
"ruhsal gerilimlerimiz varsa düşük dozda diazem falan alın , hiç değilse .",hiç değilse,hiç_değilse
yaprak dökümü .,yaprak dökümü,yaprak_dökümü
kamplar bir kere sınandı mı kaypaklıklar ister istemez ortadan kalkıyor .,bir kere,bir_kere
kamplar bir kere sınandı mı kaypaklıklar ister istemez ortadan kalkıyor .,ister istemez,ister_istemez
yıl dönümü .,yıl dönümü,yıl_dönümü
aydınlıktan huylanan atlar şaha kalkarak deli gibi dörtnala ileri atılıyorlardı .,deli gibi,deli_gibi
"yanaklara , dudaklara , gül renkli ruj sürülmüş ama belli belirsiz .",belli belirsiz,belli_belirsiz
sırplar bir defa i̇pek'te kongreye benzer bir toplantı yaparak imparatorluktan ayrılmak ve sırbistan tacını savoie dukasına vermek istediler .,bir defa,bir_defa
