sentence,gold_mwe
uzun ince bir yoldayım / gidiyorum gündüz gece,bir yol
emeklilik maaşına ne oldu ?,ne o
gelir vergisinin üçüncü taksitini verdik .,gelir vergisi
ama bu kez bir ricada bulunmaktan ziyade icazet verircesine üst perdeden çıkmıştı sesi .,ricada bulunmak
mısır'dan beri bana dadılık eden hadiye isminde bir genç kızın üvey kardeşiydi .,üvey kardeş
"duvarları yıktılar , çeşmeyi kırdılar , üzüm salkımını bile parçaladılar .",üzüm salkımı
"şiirde biçim , gerekli parçaları yerli yerine koymaktır .",yerine koymak
erkek aşkı öyle uçsuz bucaksızdır ki / olmaz bunun sonuncusu veyahut ilki,uçsuz bucaksız
gecenin hummalı sessizliği kulaklarında yüksek voltajlı bir elektrik akımı gibi vınlıyordu .,bir el
yiğidin başına bir iş gelirse / onu yad ellere açıcı olma,yad el
yiğidin başına bir iş gelirse / onu yad ellere açıcı olma,yad eller
"bu yağlı kuyruğa herkes bir defa sarılmak , onu kendine çekmek , alıkoymak sevdasındaydı .",bir de
her birinin muhakkak bir yakın arkadaşı vardır .,her biri
"gılgamış'ın açık ordugâhı , yalçın kayalıklar arasında , giriş yanarcalarla donanmıştır .",açık ordugâh
karı dırdırından başının şiştiğini ikide bir yana yakıla anlatıyordu .,bir yana
oyun kişilerini gerçek kişiler ve yapıntı kişiler olarak ikiye ayırabiliriz .,gerçek kişi
"mintanlar , fanilalar terden yapış yapıştı .",yapış yapış
"bize , iki yılda fransızcanın iki yardımcı eylemini belletememişti .",yardımcı eylem
yatsı namazını kıldıktan sonra kaldığı han odasına döndü ve yatağına uzanıp uykuyu beklemeye başladı .,yatsı namazı
"götürür , yazı masamın , geceleri de yatağımın baş ucuna koyardım .",baş ucu
"böyle bir sav , hele yazın biliminin bunca çiçeklendiği çağımızda , kolay savunulamaz .",yazın bilimi
"fakat o , pek seviniyor gibi görünmedi , terbiyeli bir tavırla inanma beyim , yem borusudur bu , şekeri bulsa kendisi yer , dedi .",yem borusu
"türkler anadolu'ya gelmeden önce de muhtelif ülkelerde yerleşik medeniyete geçmişler , büyük şehirler kurmuşlardır .",büyük şehir
rıza böylece ahırın üst katındaki dairesine yerleşti .,üst kat
"üç katlı , tahtadan , pimpirik bir evdir burası .",üç kat
"gişelerin önünde işsiz güçsüzler , erken gelen yolcular dolanıyordu .",işsiz güçsüz
"renkleri göz alıcı , tüylü bir yol halısıyla örtülmüş olan merdivenleri ağır ağır çıkıyorum .",yol halısı
bu hiç de yollu bir iş değildi .,iş değil
amerikan usulü hususi bir dedektif bürosu açmış .,bir de
onun içinde mutlaka sönüp yanan gizli yumuşak ışıklarla fosforlu bir parıldayış vardır .,onun için
bunlar memleketin edebiyat tarihinde beni yavaş yavaş yükselten birer basamak .,edebiyat tarihi
gerçekten memleketin hâli yürekler acısıydı .,yürekler acısı
yürüyen merdivenin hareketli basamaklarına adımını atarken bile yandaki tırabzana tutunma gereğini duymuştu .,yürüyen merdiven
hiçbir kaygının gölgelemediği bir saadet içinde yüzmektedir .,içinde yüzmek
prensesin bu memlekete getirip yaydığı zekeriya sofrasının anayasası budur .,zekeriya sofrası
"kıştı , i̇stanbul'a arada bir uğrayan kara kışlardan biri .",kara kış
bunlar birer karış uzunluğunda üç para çubuğun zıvanalı vidalarla birbirlerine eklenmelerinden meydana gelir .,zıvanalı vida
"çuha elbiseler giymiş , sakalı gayet biçimli kesilmiş , güzel yüzlü genç bir elekçi sazını kuruyor , alnı çatkılı kart bir kadın zilsiz tefini ovuşturuyordu .",bir el
"üçü orta boylu , boyları uzar / üçü uzun boylu , zülfünü düzer",orta boy
"ağustos böceklerinin ninnileri , dızdızlarının ahengi sanki bu karanlık gölgelerde saklı haşeratı uyutuyordu .",ağustos böcekleri
"bizimkinin evde olmadığı bir zamana denk getirirsem çağıracağım , bakalım gelecek mi ?",bir zaman
duvar saatine bakmayı akıl ettiğindeyse zihni adamakıllı bulandı .,duvar saati
"hele onu bir elime geçireyim , görürsün , burnundan getireceğim .",bir el
"kafamın çatlaklığı yüzünden bir anda orasını zindana , cehenneme çevirdim .",bir an
"i̇lk geldiğimizde hava değiştirmekten olmalı , dalıp gidiyorduk .",hava değiştirmek
"ne olur biraz uslu otursanız , şu adamların da damarına basmasanız , olmaz mı ?",ne o
hiçbir mahkeme görev ve yetkisi içindeki davaya bakmaktan kaçınamaz .,davaya bakmak
"bereket versin ki boksör , dayağa idmanlıydı .",bereket versin
"dokuz körün bir değneği , işte bir kızımız var .",bir de
çene yarıştırmak gelmiyordu içimden .,çene yarıştırma
bu üzücü durum karşısında ağlamamak elden gelmiyor .,elden gel
"geçmiş olsun ağabey , ne oldu sana böyle ?",ne o
"doğrusu ya , açık havaya , yeni yüzlere , yeni sözcüklere gereksinme duyuyorum .",açık hava
i̇şte bu iki adam bir aralık göz göze geldiler .,bir ara
i̇şte bu iki adam bir aralık göz göze geldiler .,göz göz
"yine de bir öğretmenin iyi niyetinin , ilgisinin böyle havada kalışından acı duydu .",iyi niyet
"bir aralık , büyük bir devlet adamı olmak hevesine düştüm .",bir ara
ama bu kez bir ricada bulunmaktan ziyade icazet verircesine üst perdeden çıkmıştı sesi .,ricada bulunmak
"yusuf bütün olayları korkuyla , yüreği daralarak izliyordu .",yüreği dar
"şevki , ekmek öpüp çocukları üzerine yemin ettikçe onun içine baygınlıklar çöküyordu .",onun için
i̇ncir çekirdeği doldurmayan konularda bir araba lakırtı söylerler .,bir ara
"yönettiği bütün toplantılarda , batılı bir metotla kısa zamanda verimli iş çıkarmakta üstüne yoktu .",üstüne yok
"yönettiği bütün toplantılarda , batılı bir metotla kısa zamanda verimli iş çıkarmakta üstüne yoktu .",iş çıkarmak
"yuvarlak , şen yüzlü , zaman zaman ince ve alaylı ışıldayan bir tanesi iyi saatte olsunlar ile temasta olduğu zaman şaşılaşan kara gözlü , orta yaşlı bir kadın .",bir tane
esir kızı unutabilmek için kendini teşkilattaki tuhaf aletleri incelemeye verdiğinde kafası iyice karışmıştı .,kafası iyi
"murat bey konuşurken bana kaş göz işaretleri yapıyor , bir yandan da kahkahalarla gülüyor .",bir yanda
başkan açılış konuşmasını kısa tuttu .,açılış konuşması
konuşmaya dalınca farkında olmadan uzaklaşarak görüş alanından çıkarmıştı hamam böceğini .,hamam böceği
o vakit o kış kıyamette / ne kadar makbule geçer tatlı,kış kıyamet
"az değildir varmadan senin gibi yurduna / post verenler yabanın hayduduna , kurduna",az değil
"turgut , ani bir kararla rotasını değiştirdi .",bir karar
"şansı yaver gittiği takdirde orta boylu , uzun saçlı esmerine kavuşabilecekti .",orta boy
"şiir diline dayanan bir edebiyat , konuşma dilinden ayrıldığı ölçüde hayattan kopmak , şekilci olmak zorundadır .",konuşma dili
hemen bir yolunu bulurlar yükü üstlerinden aşırmanın .,bir yol
"aç karnına sigara içmekle hiç de iyi etmiyorsun , dedi .",sigara içmek
"baba , ' ya allah ' nidası ile yerinden zorla , oğluna abanarak kalktı .",ya allah
"abuk sabukluktan bir çizgi yaratan giysileri , ilginç takılarıyla çağdaş bir efsaneydi .",abuk sabuk
"gerekli gördüğü takdirde , yasama yılının ilk günü türkiye büyük millet meclisinde açılış konuşmasını yapmak .",açılış konuşması
"gerekli gördüğü takdirde , yasama yılının ilk günü türkiye büyük millet meclisinde açılış konuşmasını yapmak .",yasama yılı
"gerekli gördüğü takdirde , yasama yılının ilk günü türkiye büyük millet meclisinde açılış konuşmasını yapmak .",millet meclisi
hiç kimseye açılmayarak yaşadığım bu altı ay beni bitirdi .,hiç kimse
dördüncü hafta sonunda afra tafra bir geliş geldi ki tanıyamadık .,hafta sonu
"geçmiş olsun ağabey , ne oldu sana böyle ?",ne o
"ağızları kopmuş bir çay takımının arasına gizlenmiş , koyu renkli bir cildi oradan alarak bana uzattı .",çay takımı
hem ellerindekilerini asıyor hem de ağız kalabalığıyla alt kata bir şeyler söylüyordu .,alt kat
hem ellerindekilerini asıyor hem de ağız kalabalığıyla alt kata bir şeyler söylüyordu .,ağız kalabalığı
hilmi bey'in bir âdeti de kira arabasına bindiği zaman arabacı ile şifahi bir mukavele akdetmesiydi .,kira arabası
akşam azadında dayağı yiyen çocuğu tuttum .,akşam azadı
tiyatro ve aktörlük onun için biçilmiş kaftandı .,biçilmiş kaftan
o dalın ucunda bir yanal alma / almasını al da dalını yolma .,bir yana
allı turnam ne gezersin havada,ne gezer
"bu saldırgan angutlar , kuru gürültüden başka bir şey değildir .",kuru gürültü
hele bir de denizcilikten anlamıyorsanız su üstünde bahadırlık göstermek yerine beceriksizlik göstereceksiniz demektir .,bir de
"ah bir anonim olmak , kalabalık içine karışıp kaybolmak tadına kavuşabilseydik .",bir an
"bu , bilinçli bir antidemokratik tutumdan kaynaklanmıyordu .",bir an
"bu , tam bir antitezdir , iddia ettiğiniz gibi sentez değildir .",bir an
"bir ön sözde yazdığını sondaki ön sözde yalanlıyor , kendinden bile hırsızlama yapıyor .",ön söz
"kuzeydoğu , kuzeybatı , güneydoğu , güneybatı ara yönlerdir .",ara yön
yol buradan itibaren kasaba yolları gibi arnavut kaldırımıydı .,arnavut kaldırımı
çatalca'ya on kilometre kala asfalttan ayrılıp toprak bir yola sapıyorum .,bir yol
"sonra subay salonunda , askerî sorgu yargıcının karşısına çıkardılar .",sorgu yargıcı
durumu hiç değilse bir süre kurtarmak için giysiyi bir askıya takıp duvardaki çiviye astım .,hiç de
durumu hiç değilse bir süre kurtarmak için giysiyi bir askıya takıp duvardaki çiviye astım .,hiç değil
"askılı , uzun , tiril tiril bir elbise giymişti .",bir el
bir zamanlar asma köprünün bulunduğu yerde şimdi cılız bir halat vardı .,bir zaman
bir zamanlar asma köprünün bulunduğu yerde şimdi cılız bir halat vardı .,asma köprü
bu kayık ateş hattımızın önüne gelir gelmez bir kumanda ile hep beraber şiddetli bir ateş açtık .,ateş hattı
atlı araba ormanın içinden geçen ince bir yolda çıngırak sesleriyle uzaklaşıyor .,bir yol
"bir yandan ay çekirdeği çitler , bir yandan gözlük değiştire değiştire okurdu .",bir yanda
bir elektrik görmediğimizden titrek fener aydınlığına doyamazdık .,bir el
devlet adamlarımız bilaistisna nasihat vermekte birbiriyle yaraşırlar .,nasihat vermek
"küpeli hafız bize baba mirasıdır , incinmesinden haberim olmalı .",baba mirası
"bağanın ne olduğunu biliyorsun değil mi meryem , kaplumbağanın sırtını kaplayan kabuktur .",ne o
"i̇nsan bir arayıp sorar , bir mektup yazar , bir telefon eder .",bir ara
"anayasa hükümleri , yasama , yürütme ve yargı organlarını , idare makamlarını , diğer kuruluş ve kişileri bağlayan temel hukuk kurallarıdır .",yargı organları
ablamın dediğine göre bunların biriyle evlenmem bahis konusuymuş .,bahis konusu
"o , yanıma oturarak kara haberlerden , kötü rivayetlerden bahsetti .",kara haber
evin bütün işleri bana bakıyor .,bana bak
"bir ara ne olur ne olmaz deyip frenleri , fren balatalarını gözden geçirdik .",ne o
"bir ara ne olur ne olmaz deyip frenleri , fren balatalarını gözden geçirdik .",ne olur
devlet işçi işveren ilişkilerinde çalışma barışının sağlanmasını kolaylaştırıcı ve koruyucu tedbirler alır .,çalışma barışı
bunlar memleketin edebiyat tarihinde beni yavaş yavaş yükselten birer basamak .,edebiyat tarihi
başarılı bir deneme .,bir de
"dükkânın camında baş aşağı asılmış , yan yana dizilmiş bastonlar duruyordu .",yan yan
"çoğu zaman ben , kendimi mesut edeyim derken başka birini bedbaht ediyorum .",başka biri
"kadın birden silkinerek gözlerini açıyor , hemen baş ucunda seyfi'yi görünce şaşırıyor .",baş ucu
sonra orsa boca tekrar salıncağa doğru yollandı .,doğru yol
sekizde üç bir bayağı kesirdir .,bayağı kesir
biz de uğultularla denizin ardı sıra / başka bir deniz gibi dağdan aktık bayıra,bir de
bu tecrübeli deniz kurdunun muhakkak bir beklediği var .,deniz kurdu
"o günkü birdirbirler , köşe kapmacalar , esir almacalar çocukça olmakla beraber herhâlde daha erkekçeydi .",köşe kapmaca
"büyük babanın zamanında bergüzarmış , ne yapayım , kıramadım .",büyük baba
altı ayı aşkın bir zamandan beri hazırlanıyordu bu yolculuk .,bir zaman
kardeşi vasfi kocasından beş beterdi .,beş beter
"diyarbakır'a yaklaştıkları zaman güneş yükselmiş , ovayı her günkü beyazımtırak duman sarmıştı .",her gün
"bunlar arasında beygirsiz bir araba titreyerek sarsılarak geziyor , borusunu öttürüyordu .",bir ara
i̇lim araştırmaları için kredi darlığı avrupa'dan amerika'ya beyin göçüne sebep olmaktadır .,sebep olmak
i̇lim araştırmaları için kredi darlığı avrupa'dan amerika'ya beyin göçüne sebep olmaktadır .,beyin göçü
darılma ama bunlar bana hep birtakım beylik sözler gibi geliyor .,beylik söz
devlet adamlarımız bilaistisna nasihat vermekte birbiriyle yaraşırlar .,nasihat vermek
"panjurun gölgesinde beliren altın bilezikli , zayıf bir kadın kolu gördüm .",altın bilezik
"bu eleme sınavını aşamayan çıraklıktan kurtulamaz , öğretenin bilgece sözlerini dinlemeye hak kazanamazmış .",eleme sınavı
"o evlerin ısıtılacağını , akşama sıcak yemek yapılacağını , evlerin ıssız olmadığını haber verirdi .",haber ver
"kadınlar çocuklarını bayram yerinde bir salıncağa , bir atlıkarıncaya bindirmişlerdi .",bayram yeri
"üzüm suyuna , arpa suyuna , arada olmak şartıyla imamsuyuna yüzüm yoktur .",arpa suyu
"üzüm suyuna , arpa suyuna , arada olmak şartıyla imamsuyuna yüzüm yoktur .",üzüm suyu
bir aralık bir odada yalnız kalmış oluyoruz .,bir ara
"aynı anda sahnenin her yerinde birden bitiyor , bir şarkıcıdan çok bir göz bağcıya benziyordu .",göz bağcı
"ev , bodrumu , tavan arası ve iki katıyla tam bir konak yavrusudur .",konak yavrusu
"ne oldu da kocasından boşandı , sen anladın mı ?",ne o
yatak odasında üzerindekileri çıkarırken boy aynasına kaçamak bir bakış fırlattı .,yatak odası
yatak odasında üzerindekileri çıkarırken boy aynasına kaçamak bir bakış fırlattı .,boy aynası
zaten yol boyunca hem lezzetli hem de buz dolabına taş çıkartacak sulardan geçeceğiz .,yol boyu
cumhuriyet devrinde benzeri görülmemiş bölücü ve yıkıcı kanlı bir iç savaşın gerçekleşme noktasına yaklaştığı sırada doğdu .,iç savaş
öğle yemeğini ana cadde üstündeki börekçide yediler .,öğle yemeği
"padişah bakmış , babayani , hırpani bir derviş .",bir de
"atlar , arabalar , dalkavuklar arasında geçen debdebelerle şimdiki kırk paralık bulama , altmış paralık peynir müşterilerine meram anlatmak arasında ne büyük tezat vardı .",kırk para
bu genç kadında kendisini büyüleyen şeyin ne olduğunu bulmaya uğraşıyor .,ne o
bu seferlik böyle olsun .,bu sefer
"tencereyi soğuması için kenara almış , buzlu camdan pembe kâseleri hazırlamış ve sabırsızlıkla kocasını beklemeye koyulmuştu .",buzlu cam
büyük annem yeni dansları eski kabakçı arapların oyunu kadar bile güzel bulmuyor .,büyük anne
"bir ana dans sırasında , büyük boy duvar aynalarından birini gösterdi .",bir an
bir kandil günü öteki bölükteki büyük hanımın elini öpmeye gitmiştim .,büyük hanım
"çiçekli kumaştan , büzgülü , yakası kayık bir elbise dikti .",bir el
elli senedir cambazlık ettiği hâlde ancak ömründe bir defa beyaz eşek görmüştü .,bir de
yunus ver canını hak yoluna / can vermeyince canan bulunmaz,hak yolu
"ayşe hanım , canlı cenazeden farksız , handiyse son nefesini verecek .",canlı cenaze
"ayşe hanım , canlı cenazeden farksız , handiyse son nefesini verecek .",son nefes
"ceketinin arkasındaki potlar , bugün mutlaka her zamandan çok ensesine binmişti .",her zaman
"bayramın her günü gelirler , ellerini ceplerine sokarak dolaşırlardı .",her gün
gürültüye karşı savaşanlar köpeğe karşı cephelenmişler .,karşı sav
yedekleriyse ceviz dolabın alt tarafına kaldırılmıştı .,alt tarafı
kökten bir değişiklik .,bir de
"saz takımında cızgara denilen ensiz , dikdörtgen bir kemanla santur da yer alır .",saz takımı
bana baksana !,bana bak
cihangirane bir devlet çıkardık bir aşiretten .,bir de
"poker masasında servetini , içki masasında sıhhatini cömertçe tüketmiştir .",içki masası
yola uzanan cumbaların altındaki destekler büyük annelerimizin sarkık gerdanlarına benzerdi .,büyük anne
suçlu cürmünü inkâr etmekte ve saçma sapan ifadeleriyle tahkikatı karıştırmak istemektedir .,inkâr etmek
"dünya atom çağında , biz hâlâ medeniyet kavgası içindeyiz .",atom çağı
doğru düşünmek çağrışımların rastgele gidişine karşı koymaktır .,karşı koymak
güzel meze ile arada bir de çakıştırıyorlar .,bir de
devlet çalışma barışının sağlanmasını kolaylaştırıcı ve koruyucu tedbirleri alır .,çalışma barışı
i̇ş saatinin yazın daha geç bitişi göz önüne alınarak o saatlerde daha sık vapur konulabilir .,o saat
"kucağında sımsıkı tuttuğu , tepeleme kıyafet dolu çamaşır sepetini yere bıraktı .",çamaşır sepeti
hitit adı verilen o insanların bıraktıkları çanak çömleklere bakınca bugün hâlâ anadolu halkının kullandığı çanak çömlekleri görür gibi oluyoruz .,çanak çömlek
bütün gün onun çan çanından bıktım .,çan çan
bir aralık geminin çarkçıbaşını yakalayacak gibi oldu .,bir ara
kim bu ruhsatsız lafa karışan çarliston marka kereste ?,çarliston marka
"çabucak yatak odasına koştu , çarşafını giydi .",yatak odası
"o çatık , kara kaşlı , al yanaklı hanımın kucağına oturmak lazım gelmişti .",kara kaş
el fenerimle çayırlıkta koşuyorum .,el feneri
"çeltikçiler , o burunları kafdağı'nda çeltikçiler çarşıya düşmüşler , önlerine gelene dert yanıyorlar .",o bu
bir derkenar yazacak oldu ancak ona da karar veremedi .,bir de
atlı araba ormanın içinden geçen ince bir yolda çıngırak sesleriyle uzaklaşıyor .,bir yol
yaptığı çiçek suyunun ilk bardağını kendi içtikten sonra ikincisini hanımına getirir .,çiçek suyu
"bir yandan ay çekirdeği çitler , bir yandan gözlük değiştire değiştire okurdu .",bir yanda
"sen bunların içinde en güzelini , bir sürünün başında çobanlığı seçmiştin .",bir sürü
onlar için telefon dinlemek çocuk oyuncağıydı .,çocuk oyuncağı
alaca karanlıklar çökerken köşk bahçesinin parmaklıklarında görünmektedir .,alaca karanlık
"bugüne kadar karayamuklar ailesi tekelinde kalmış bir çöpsüz üzüm bütün nakit parası , malı ve şerefiyle rastgele birine kaptırılamazdı .",nakit para
"bütün bu değişmelerin başıboş bırakılması , bir anarşi , bir çözülme hâline gelmesi güzel değildir .",bir an
sıcak bir demir çubuktan niçin elini çekiyorsun ?,bir de
"yanımızda , ne olur ne olmaz diye alınmış yarım çuval peksimet vardı .",ne o
"yanımızda , ne olur ne olmaz diye alınmış yarım çuval peksimet vardı .",ne olur
"balık adamlıkta yirmi yıllık tecrübesine , ustalık ve alışkanlığına rağmen bir tuhaf heyecan duyuyordu .",balık adam
"büyük hanın altında sıra kahveler vardır ya ; her birinde laakal iki , üç dava vekiline tesadüf edilir .",dava vekili
"büyük hanın altında sıra kahveler vardır ya ; her birinde laakal iki , üç dava vekiline tesadüf edilir .",her biri
"bence ziyan olmuş , eski deyimiyle heder olmuş bir değerdir .",bir de
hiç değişiğim kalmadı .,hiç de
"küçük çocuk , kulübenin kenarına yığılmış taşlardan yukarıda bir deliğe sıkışmıştı .",bir de
"bütün bu işlemler sona erdiğinde , koca arazi yüzlerce köstebeğin saldırısına uğramışçasına delik deşikti .",delik deşik
sokaklarda delikli mihaliç peynirinden nane suyuna kadar ne görse alıyordu .,nane suyu
o kadar çabuk uyanmıştı ki kalbinin demir bir elle sıkıldığını duydu .,bir el
"yükün bir dengi fasulye , bir dengi nohut .",bir de
bir deftere birçok manzumelerimi dercetmiştim .,bir de
bir yandan da bundan derin bir utanç duyuyorum .,bir yanda
"bu vaziyeti de görünce büsbütün kızdı , gülsüm'e unutmaz , affetmez bir deve kini bağladı .",bir de
"öyle kabileler var ki çadırları , maşlahları , abaları , heybeleri ve bütün eşyaları deve tüyünden örülmüştür .",deve tüyü
"bir devridaim makinesi misali , dışarıdan el beklemeksizin kendi çarkını kendisi çeviriyordu .",bir de
bir lokma kuru ekmek için sabahtan akşama kadar didişen zavallıların hâlini meraklı bir roman gibi dinliyor .,akşama kadar
tutucunun dik âlâsısın diye haykırmak geliyor içimden .,dik âlâsı
sıra sıra demir beton direkler arasında dikenli teller gerilmişti .,dikenli tel
oyuncu topu penaltı noktasına dikti .,penaltı noktası
diktatörlükten kurtulmak isteyen her toplum dil öğrenimine ne denli önem verse yeridir .,dil öğrenimi
"halk dilinin günebakan ismini verdiği bu çiçek , güneşe âşıktır .",halk dili
ziyafet sofrasında yiyip içen bir sofra gibi diş kirasını da düşünür .,diş kirası
i̇şte bütün eserlerini bir araya toplayacak olan bu dizinin başına yazılacak ön söz .,bir ara
"çalgılarını önlerine katıp köyün üst başındaki pınar yerine çıktılar , güneşi doğdurdular .",üst başı
"çalgılarını önlerine katıp köyün üst başındaki pınar yerine çıktılar , güneşi doğdurdular .",üst baş
ben her sene 11 mayısta doğum günümü kutlarım .,doğum günü
"üç yüz otomatik dokuma tezgâhının , kulakları sağır eden bir şakırtıyla çalıştığı dokumahane toz içindeydi .",dokuma tezgâhı
"i̇nancı kötüye kullanma , dolanlı iflas gibi yüz kızartıcı suçlarla hüküm giymiş olanlar .",yüz kızartıcı suç
"tekel maddelerinden alınan vergi , dolaylı vergidir .",dolaylı vergi
"dolmuşçuların çoğu da babasının , anasının evini satarak bir araba edinmiştir .",bir ara
"ruhsal gerilimlerimiz varsa düşük dozda diazem falan alın , hiç değilse .",hiç de
"ruhsal gerilimlerimiz varsa düşük dozda diazem falan alın , hiç değilse .",hiç değil
"o çıkış da sayfiyeye gider gibi , o kadar hürmetsizce , o kadar çabuk olmuş ki saray döşemesiz , eşyasız tamtakır kalmış .",çabuk ol
"i̇çi öyle yanıyordu ki elinde olmadan buğulu bira dubleleri , bardak çatlatan nar şerbetleri kuruyor .",öyle ya
sırplar bir defa i̇pek'te kongreye benzer bir toplantı yaparak imparatorluktan ayrılmak ve sırbistan tacını savoie dukasına vermek istediler .,bir de
motorlu su taşıtlarından biri de kanal rıhtımının tam bizim önümüze düşen bir noktasında demir atmış duruyordu .,su taşı
gözlerini açınca karyolasının karşısındaki duvar saatine baktı .,duvar saati
bu laflarda gerçek payı ne kadar çoksa duygu payı da ondan az değildir .,az değil
dükkân komşusu bu gece onu oğlunun sünnet düğününe çağırmış .,sünnet düğünü
"artık şimdi öyle düşkün bir babayım ki / yüreğim hun , sayhalarım boğuk boğuktur",boğuk boğuk
"peki ama bu öfke , bu sinir , ters bakışlar , düşmanca homurdanmalar neyin nesiydi ?",neyin nesi
"taş binanın bir odasını mantarlardan , çivilerden ve balıkçı edevatından bir döşeme bürümüştü .",taş bina
"artık kendi kafamıza göre davranabilir , istediğimiz eğitim programını gerçekleştirebilirdik .",eğitim programı
"eh , dün geceki kafayla bu kadarı olacaktı elbet !",bu kadar
"ekoloji o günden bugüne karşı karşıya kaldığı tehlikenin büyümesi ile orantılı bir boyutta gelişti , bir bilim hâlini aldı .",bir boy
"hakkı'nın eksiklenmesini alçak gönüllülüğüne , sessizliğini kibarlığına verdiler .",alçak gönüllü
"doktorun eksilmeyen güleçliğini , cana yakınlığını maske sanıyor .",cana yakın
bir defasında bunun elbise dolabının karanlık aynasında boğulan gün ışığı olduğunu anlamıştı .,bir defa
bir defasında bunun elbise dolabının karanlık aynasında boğulan gün ışığı olduğunu anlamıştı .,elbise dolabı
bir defasında bunun elbise dolabının karanlık aynasında boğulan gün ışığı olduğunu anlamıştı .,bir de
kendi kişiliğimin bugün henüz böyle bir elebaşılığa yatkın olmadığını görebilecek kadar da gerçekçiyim .,bir el
"evden bir elek getirilecek , eleğin kenarına bir sopa konup kaldırılacak .",bir el
"koridor karanlık , alışkanlıkla elektrik düğmesine uzanıyor ellerim .",elektrik düğmesi
bir ihtiyarın elinde bir elektrik feneriyle acele acele sokak kapısından girdiğini gördük .,elektrik feneri
bir ihtiyarın elinde bir elektrik feneriyle acele acele sokak kapısından girdiğini gördük .,sokak kapısı
el işçiliğine ve çiftçiliğe rağbet göstermediler .,el işçiliği
"ellerini , kumral saçlarının döküldüğü ense çukuruna kenetlerdi .",ense çukuru
"çamlıca tepesinden bakınca i̇stanbul , esatirî ve baş döndürücü bir güzellikle karşımızda yatardı .",bir güzel
"acaba , bir yolunu bulup bir talih eseri olarak gidemez miydik ?",bir yol
"seyirlik oyunlarının esnaf loncalarıyla , gedikleriyle de yakın ilintisi vardır .",seyirlik oyun
çoğu zaman eş anlamda kullandığımız bu sözcüklerin arasındaki fark düşündürücüydü .,eş anlam
sağlığını sormaya gelip giden eş dostun ağzı da sıkı sıkı tembihlenip kilitlenince .,eş dost
bu adam bir aralık eşkıyalık yapmış çok nemrut bir herif .,bir ara
türk - alman eş yapımı bir film üzerinde çalışmalara başlandı .,eş yapım
türk - alman eş yapımı bir film üzerinde çalışmalara başlandı .,eş yapı
. bazı kimselerin üç dört koyun ve ineğinden başka evcil hayvanı yoktur .,evcil hayvan
emirgân camiinden yankılanan sabah ezanını duydular .,sabah ezanı
radyo ince sazdan sultaniyegâh faslına başlamış .,ince saz
kapısı kırmızı fenerli bir evin önünde durmuşlardı .,kırmızı fener
yurt dışındakiler akın akın yurda dönmeye başladı .,yurt dışı
"şimdi bir karış piçler bile zavallıya ulan , hödük , bana baksana diye hitap ediyorlar .",bana bak
hayvanlar iki şubeye ayrılır : bir hücreliler ile çok hücreliler .,bir hücreli
hayvanlar iki şubeye ayrılır : bir hücreliler ile çok hücreliler .,çok hücreli
başının altından yastığı çektim ve yüzüne fiskeler hâlinde su serptim .,başının altında
senin saçını da öyle yapalım istersen .,öyle ya
"bir ara ne olur ne olmaz deyip frenleri , fren balatalarını gözden geçirdik .",ne o
"bir ara ne olur ne olmaz deyip frenleri , fren balatalarını gözden geçirdik .",ne olur
"bu sorunun içinde , futbolumuz dâhil , irdelenmesi gerekli pek çok şey var .",çok şey
can acısıyla gayriihtiyari boğuk bir ses fırladı ağzımdan .,can acısı
yol yol ağarmış saçlarını gaz boyamasının altına saklamış .,gaz boyaması
"gebre , kıldan , hamam kesesine benzer yapılmıştır .",hamam kesesi
"artık ruhsar'la gelir , gece yatısına kalırız .",gece yatısı
i̇plik iğne deliğinden zor geçti .,iğne deliği
"bir karara varılmadan evvel , etraflıca düşünmek gerekir .",bir karar
"bir nokta çevresinde , bu noktaya olan uzaklıkları eşit bulunan bütün noktaların geometrik yeri düzlemde daire , uzayda ise küredir .",geometrik yer
"anayasa mahkemesi kararları idare makamlarını , gerçek ve tüzel kişileri bağlar .",tüzel kişi
dün bir deri bir kemik hâlinde eve getirip bırakmışlar .,bir de
bu konuda gevşek davranırsanız periler diyarına akla gelmeyecek sevimsiz bir yoldan gitmek de var .,bir yol
"hiçbir zaman yaşamadıkları şeyleri yaşıyormuş gibi davranabilecekleri bir gezginci tiyatroda , bir sirkte buluşmalarını ' istiyor .",bir zaman
"o anda giriş kapısında bulunan adamların okkalı küfürleri , şiddetli şaplaklarla ansızın kesiliyor ve acı feryatlarına karışıyordu .",giriş kapısı
türkiye büyük millet meclisi . kapalı oturumlar yapabilir .,kapalı oturum
"konu , meclis'in bir gizli oturumunda ele alınmıştı .",gizli oturum
millî takımın en büyük golcüsü .,millî takım
"i̇sviçre'nin göbeğinde , nerde ise bilmem kaçıncı türk moskof muharebesi patlamak üzere idi .",bilmem kaç
"fikrince , güya bu koku , göğüs darlığına birebirmiş .",göğüs darlığı
türkiye'ye gölge oyununun ne zaman ve nasıl girdiği sorunu üzerine çeşitli yorumlar bulunmaktadır .,gölge oyunu
boya değil altın yaldız vursan manda gönü gibi donuk duruyor .,değil a
gönül meselesinde ise ne yapıp bir çare bulmalıydı .,gönül meselesi
"ben onun aynada saçlarına değil , bana baktığını gene aynadan görüyordum .",bana bak
